PersonID,Name,Age,Gender,Nationality,Joined,ClassDept,Type,Survived
36,"ALLEN, Miss Elisabeth Walton",29,Female,American,Southampton,1st Class Passenger,1st Class,SAVED
37,"ALLEN, Mr Ernest Frederick",24,Male,English,Southampton,Engineering Crew,Engineer,SAVED
38,"ALLEN, Mr George",26,Male,English,Southampton,Victualling Crew,Victualler,LOST
39,"ALLEN, Mr Henry",30,Male,English,Southampton,Engineering Crew,Engineer,LOST
40,"ALLEN, Mr Robert Spencer",35,Male,English,Southampton,Victualling Crew,Victualler,LOST
41,"ALLEN, Mr William Henry",39,Male,English,Southampton,3rd Class Passenger,3rd Class,LOST
42,"ALLISON, Master Hudson Trevor",11m,Male,Canadian,Southampton,1st Class Passenger,1st Class,SAVED
43,"ALLISON, Miss Helen Loraine",2,Female,Canadian,Southampton,1st Class Passenger,1st Class,LOST
44,"ALLISON, Mr Hudson Joshua Creighton",30,Male,Canadian,Southampton,1st Class Passenger,1st Class,LOST
45,"ALLISON, Mrs Bess Waldo",25,Female,Canadian,Southampton,1st Class Passenger,1st Class,LOST
46,"ALLSOP, Mr Alfred Samuel",36,Male,English,Belfast,Engineering Crew,Engineer,LOST
47,"ALLSOP, Mr Frank Richard",43,Male,English,Belfast,Victualling Crew,Victualler,LOST
48,"ALLUM, Mr Owen George",17,Male,English,Southampton,3rd Class Passenger,3rd Class,LOST
49,"ANDERSEN (JENSEN), Miss Carla Christine Nielsine",19,Female,Danish,Southampton,3rd Class Passenger,3rd Class,SAVED
50,"ANDERSEN, Mr Albert Kaurin",33,Male,Norwegian,Southampton,3rd Class Passenger,3rd Class,LOST
51,"ANDERSON, Mr Harry",42,Male,American,Southampton,1st Class Passenger,1st Class,SAVED
52,"ANDERSON, Mr John",42,Male,English,Southampton,Deck Crew,Deck Crew,SAVED
53,"ANDERSON, Mr Walter Yuill",50,Male,Scottish,Southampton,Victualling Crew,Victualler,LOST
54,"ANDERSSON, Master Sigvard Harald Elias",4,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
55,"ANDERSSON, Miss Ebba Iris Alfrida",6,Female,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
56,"ANDERSSON, Miss Ellis Anna Maria",2,Female,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
57,"ANDERSSON, Miss Erna Alexandra",16,Female,Finnish,Southampton,3rd Class Passenger,3rd Class,SAVED
58,"ANDERSSON, Miss Ida Augusta Margareta",38,Female,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
59,"ANDERSSON, Miss Ingeborg Constanzia",9,Female,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
60,"ANDERSSON, Miss Sigrid Elisabeth",11,Female,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
61,"ANDERSSON, Mr Anders Johan",39,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
62,"ANDERSSON, Mr Johan Samuel",26,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
63,"ANDERSSON, Mrs Alfrida Konstantia Brogren",39,Female,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
64,"ANDREASSON, Mr Pål Edvin",20,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
65,"ANDREW, Mr Edgar Samuel",17,Male,"English, Argentinian",Southampton,2nd Class Passenger,2nd Class,LOST
66,"ANDREW, Mr Frank Thomas",26,Male,English,Southampton,2nd Class Passenger,2nd Class,LOST
67,"ANDREWS, Miss Cornelia Theodosia",62,Female,American,Cherbourg,1st Class Passenger,1st Class,SAVED
68,"ANDREWS, Mr Archibald",40,Male,Irish,Belfast,Engineering Crew,Engineer,
69,"ANDREWS, Mr Charles Edward",19,Male,English,Southampton,Victualling Crew,Victualler,SAVED
70,"ANDREWS, Mr Thomas",39,Male,Irish,Belfast,1st Class Passenger H&W Guarantee Group,H&W Guarantee Group,LOST
71,"ANGLE, Mr William",31,Male,English,Southampton,2nd Class Passenger,2nd Class,LOST
72,"ANGLE, Mrs Florence Agnes",36,Female,English,Southampton,2nd Class Passenger,2nd Class,SAVED
73,"APPLETON, Mrs Charlotte",53,Female,American,Southampton,1st Class Passenger,1st Class,SAVED
74,"ARCHER, Mr Ernest Edward",35,Male,English,Southampton,Deck Crew,Deck Crew,SAVED
75,"ARMSTRONG, Mr James",31,Male,Irish,Belfast,Engineering Crew,Engineer,
76,"ARNOLD-FRANCHI, Mr Josef",25,Male,Swiss,Southampton,3rd Class Passenger,3rd Class,LOST
77,"ARNOLD-FRANCHI, Mrs Josefine",18,Female,Swiss,Southampton,3rd Class Passenger,3rd Class,LOST
78,"ARONSSON, Mr Ernst Axel Algot",25,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
79,"ARTAGAVEYTIA, Mr Ramon",71,Male,Uruguayan,Cherbourg,1st Class Passenger,1st Class,LOST
80,"ASHBY, Mr John",57,Male,English,Southampton,2nd Class Passenger,2nd Class,LOST
81,"ASHCROFT, Mr Austin Aloysius",26,Male,English,Southampton,Victualling Crew,Victualler,LOST
82,"ASHE, Mr Henry Wellesley",41,Male,Irish,Southampton,Victualling Crew,Victualler,LOST
83,"ASIM, Mr Adola",35,Male,Syrian,Southampton,3rd Class Passenger,3rd Class,LOST
84,"ASPESLAGH, Mr Georges",26,Male,Belgian,Southampton,Restaurant Staff,Restaurant Staff,LOST
85,"ASPLUND, Master Carl Edgar",5,Male,"Swedish, American",Southampton,3rd Class Passenger,3rd Class,LOST
86,"ASPLUND, Master Clarence Gustaf Hugo",9,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
87,"ASPLUND, Master Edvin Rojj Felix",3,Male,"American, Swedish",Southampton,3rd Class Passenger,3rd Class,SAVED
88,"ASPLUND, Master Filip Oscar",13,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
89,"ASPLUND, Miss Lillian Gertrud",5,Female,American,Southampton,3rd Class Passenger,3rd Class,SAVED
90,"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",40,Male,"Swedish,American",Southampton,3rd Class Passenger,3rd Class,LOST
91,"ASPLUND, Mr Johan Charles",23,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,SAVED
92,"ASPLUND, Mrs Selma Augusta Emilia",38,Female,Swedish,Southampton,3rd Class Passenger,3rd Class,SAVED
93,"ASSAM, Mr Ali",23,Male,Syrian,Southampton,3rd Class Passenger,3rd Class,LOST
94,"ASTOR, Colonel John Jacob",47,Male,American,Cherbourg,1st Class Passenger,1st Class,LOST
95,"ASTOR, Mrs Madeleine Talmage",18,Female,American,Cherbourg,1st Class Passenger,1st Class,SAVED
96,"ATTALA, Mr Sleiman Khalil",27,Male,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
97,"ATā ALLāH, Miss Malakah",18,Female,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
98,"AUBART, Mme. Léontine Pauline",24,Female,French,Cherbourg,1st Class Passenger,1st Class,SAVED
99,"AUGUSTSSON, Mr Albert",23,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
100,"AULD, Mr James",32,Male,Irish,Belfast,Engineering Crew,Engineer,
101,"AVERY, Mr James Albert",20,Male,English,Southampton,Engineering Crew,Engineer,SAVED
102,"AYLING, Mr Edwin George",23,Male,English,Southampton,Victualling Crew,Victualler,LOST
103,"AYYūB-DāHIR, Miss Bannūrah",15,Female,Syrian,Cherbourg,3rd Class Passenger,3rd Class,SAVED
104,"BACK, Mr Charles Frederick",37,Male,English,Belfast,Victualling Crew,Victualler,LOST
105,"BACKSTRöM, Mr Karl Alfred",32,Male,Finnish,Southampton,3rd Class Passenger,3rd Class,LOST
106,"BACKSTRöM, Mrs Maria Mathilda",33,Female,Finnish,Southampton,3rd Class Passenger,3rd Class,SAVED
107,"BADMAN, Miss Emily Louisa",18,Female,English,Southampton,3rd Class Passenger,3rd Class,SAVED
108,"BADT, Mr Mohamed",40,Male,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
109,"BAGGOTT, Mr Allen Marden",28,Male,English,Southampton,Victualling Crew,Victualler,SAVED
110,"BAGLEY, Mr Edward Henry",33,Male,English,Southampton,Victualling Crew,Victualler,LOST
111,"BAILEY, Mr George",44,Male,English,Belfast,Victualling Crew,Victualler,LOST
112,"BAILEY, Mr George Frank",46,Male,Welsh,Southampton,Engineering Crew,Engineer,LOST
113,"BAILEY, Mr Henry Joseph",46,Male,English,Southampton,Deck Crew,Deck Crew,SAVED
114,"BAILEY, Mr Percy",18,Male,English,Southampton,2nd Class Passenger,2nd Class,LOST
115,"BAILEY, Mr William",30,Male,Irish,Belfast,Engineering Crew,Engineer,
116,"BAIN, Mr David",52,Male,English,Belfast,Engineering Crew,Engineer,
117,"BAINBRIGGE, Mr Charles Robert",22,Male,Channel Islander,Southampton,2nd Class Passenger,2nd Class,LOST
118,"BAINES, Mr Richard",58,Male,Irish,Southampton,Engineering Crew,Engineer,LOST
119,"BAKER, Mr John",32,Male,Irish,Belfast,Engineering Crew,Engineer,
120,"BALIKIć, Mr Ćerim",26,Male,Bosnian,Southampton,3rd Class Passenger,3rd Class,LOST
121,"BALL, Mr Percy",18,Male,English,Southampton,Victualling Crew,Victualler,SAVED
122,"BALLS, Mrs Ada Elizabeth",36,Female,English,Southampton,2nd Class Passenger,2nd Class,SAVED
123,"BANEWER, Mr Solomon",42,Male,Lithuanian,Southampton,2nd Class Passenger,2nd Class,LOST
124,"BANFI,  Ugo",24,Male,Italian,Southampton,Restaurant Staff,Restaurant Staff,LOST
125,"BANFIELD, Mr Frederick James",28,Male,English,Southampton,2nd Class Passenger,2nd Class,LOST
126,"BANNON, Mr John Joseph",34,Male,English,Southampton,Engineering Crew,Engineer,LOST
127,"BARBARA, Miss Saiide",18,Female,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
128,"BARBARA, Mrs Catherine David",45,Female,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
129,"BARBER, Miss Ellen Mary",26,Female,English,Southampton,1st Class Passenger Servant,Servant,SAVED
130,"BARKER, Mr Albert Vale",19,Male,English,Southampton,Victualling Crew,Victualler,LOST
131,"BARKER, Mr Ernest Thomas",40,Male,English,Southampton,Victualling Crew,Victualler,LOST
132,"BARKER, Mr George",56,Male,Irish,Belfast,Engineering Crew,Engineer,
133,"BARKER, Mr George",46,Male,Irish,Belfast,Deck Crew,Deck Crew,
134,"BARKER, Mr Reginald Lomond",42,Male,English,Belfast,Victualling Crew,Victualler,LOST
135,"BARKER, Mr Stokes",26,Male,Irish,Belfast,Engineering Crew,Engineer,
136,"BARKLEY, Mr Robert",39,Male,Irish,Belfast,Engineering Crew,Engineer,
137,"BARKWORTH, Mr Algernon Henry",47,Male,English,Southampton,1st Class Passenger,1st Class,SAVED
138,"BARLOW, Mr Charles Henry",30,Male,English,Southampton,Engineering Crew,Engineer,LOST
139,"BARLOW, Mr George",39,Male,English,Southampton,Victualling Crew,Victualler,LOST
140,"BARNES, Mr Charles",29,Male,English,Southampton,Engineering Crew,Engineer,LOST
141,"BARNES, Mr Frederick Charles",40,Male,English,Southampton,Victualling Crew,Victualler,LOST
142,"BARNES, Mr John",39,Male,English,Southampton,Engineering Crew,Engineer,LOST
143,"BARNES, Mr William John",36,Male,Irish,Belfast,Engineering Crew,Engineer,
144,"BARRATT, Mr Arthur",16,Male,English,Southampton,Victualling Crew,Victualler,LOST
145,"BARRETT, Mr Frederick William",29,Male,English,Southampton,Engineering Crew,Engineer,SAVED
146,"BARRETT, Mr Frederick William",33,Male,English,Southampton,Engineering Crew,Engineer,LOST
147,"BARRINGER, Mr Arthur William",34,Male,English,Belfast,Victualling Crew,Victualler,LOST
148,"BARROW, Mr Charles Henry John",35,Male,English,Southampton,Victualling Crew,Victualler,LOST
149,"BARROWS, Mr Edward William Peter",32,Male,English,Southampton,Victualling Crew,Victualler,LOST
150,"BARRY, Miss Julia",30,Female,"Irish,American",Queenstown,3rd Class Passenger,3rd Class,LOST
151,"BARRY, Mr James",31,Male,Irish,Belfast,Engineering Crew,Engineer,
152,"BARTLEY, Mr Robert",32,Male,Irish,Belfast,Engineering Crew,Engineer,
153,"BARTLEY, Mr Thomas",35,Male,Irish,Belfast,Victualling Crew,Victualler,
154,"BARTON, Mr David John",22,Male,English,Southampton,3rd Class Passenger,3rd Class,LOST
155,"BARTON, Mr Sidney John",26,Male,English,Southampton,Victualling Crew,Victualler,LOST
156,"BASILICO, Sig. Giovanni",27,Male,Italian,Southampton,Restaurant Staff,Restaurant Staff,LOST
157,"BASSANI, Mrs Albina",31,Female,Italian,Cherbourg,1st Class Passenger Servant,Servant,SAVED
158,"BATEMAN, Revd Robert James",52,Male,English,Southampton,2nd Class Passenger,2nd Class,LOST
159,"BATOSHEV, Mr Hristo Lalev",23,Male,Bulgarian,Southampton,3rd Class Passenger,3rd Class,LOST
160,"BAUMANN, Mr John David",48,Male,American,Cherbourg,1st Class Passenger,1st Class,LOST
161,"BAXTER, Mr Harry Ross",53,Male,English,Southampton,Victualling Crew,Victualler,LOST
162,"BAXTER, Mr Quigg Edmond",24,Male,Canadian,Cherbourg,1st Class Passenger,1st Class,LOST
163,"BAXTER, Mr Thomas Ferguson",55,Male,Scottish,Southampton,Victualling Crew,Victualler,LOST
164,"BAXTER, Mrs Hélène",50,Female,Canadian,Cherbourg,1st Class Passenger,1st Class,SAVED
165,"BAZZI, Sig. Narciso",33,Male,Swiss,Southampton,Restaurant Staff,Restaurant Staff,LOST
166,"BAZZī, Mr Rashīd Al-Hāj 'Adb al-Husayn",30,Male,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
167,"BEANE, Mr Edward",32,Male,English,Southampton,2nd Class Passenger,2nd Class,SAVED
168,"BEANE, Mrs Ethel Louisa",22,Female,English,Southampton,2nd Class Passenger,2nd Class,SAVED
169,"BEATTIE, Mr Francis",39,Male,Irish,Belfast,Engineering Crew,Engineer,
170,"BEATTIE, Mr Joseph John",40,Male,Irish,Belfast,Engineering Crew,Engineer,LOST
171,"BEATTIE, Mr Thomson",36,Male,Canadian,Southampton,1st Class Passenger,1st Class,LOST
172,"BEAUCHAMP, Mr George William",24,Male,English,Southampton,Engineering Crew,Engineer,SAVED
173,"BEAUCHAMP, Mr Henry James",43,Male,English,Southampton,2nd Class Passenger,2nd Class,LOST
174,"BEAVAN, Mr William Thomas",20,Male,English,Southampton,3rd Class Passenger,3rd Class,LOST
175,"BECKER, Master Richard F.",1,Male,American,Southampton,2nd Class Passenger,2nd Class,SAVED
176,"BECKER, Miss Marion Louise",4,Female,American,Southampton,2nd Class Passenger,2nd Class,SAVED
177,"BECKER, Miss Ruth Elizabeth",12,Female,American,Southampton,2nd Class Passenger,2nd Class,SAVED
178,"BECKER, Mrs Nellie E.",35,Female,American,Southampton,2nd Class Passenger,2nd Class,SAVED
179,"BECKWITH, Mr Richard Leonard",37,Male,American,Southampton,1st Class Passenger,1st Class,SAVED
180,"BECKWITH, Mrs Sarah Maybell",46,Female,American,Southampton,1st Class Passenger,1st Class,SAVED
181,"BEDFORD, Mr William Barnett",31,Male,English,Southampton,Victualling Crew,Victualler,LOST
182,"BEEDEM, Mr George Arthur",35,Male,English,Southampton,Victualling Crew,Victualler,LOST
183,"BEERE, Mr William",19,Male,English,Southampton,Victualling Crew,Victualler,LOST
184,"BEESLEY, Mr Lawrence",34,Male,English,Southampton,2nd Class Passenger,2nd Class,SAVED
185,"BEHR, Mr Karl Howell",26,Male,American,Cherbourg,1st Class Passenger,1st Class,SAVED
186,"BELL, Mr Joseph",51,Male,English,Belfast,Engineering Crew,Engineer,LOST
187,"BENDELL, Mr Frank",23,Male,English,Southampton,Engineering Crew,Engineer,LOST
188,"BENGTSSON, Mr Jan Viktor",26,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
189,"BENHAM, Mr Fred John",30,Male,English,Southampton,Victualling Crew,Victualler,LOST
190,"BENNETT, Mr George Alfred",30,Male,English,Southampton,Engineering Crew,Engineer,LOST
191,"BENNETT, Mrs Mabel Kate",33,Female,English,Southampton,Victualling Crew,Victualler,SAVED
192,"BENSON, Mr James",50,Male,Irish,Belfast,Deck Crew,Deck Crew,
193,"BENSON, Mr John",26,Male,Irish,Belfast,Deck Crew,Deck Crew,
194,"BENSON, Mr William",25,Male,Irish,Belfast,Engineering Crew,Engineer,
195,"BENTHAM, Miss Lillian Winifred",19,Female,American,Southampton,2nd Class Passenger,2nd Class,SAVED
196,"BENVILLE, Mr Edward",47,Male,English,Southampton,Engineering Crew,Engineer,LOST
197,"BERGLUND, Mr Karl Ivar Sven",22,Male,Finnish,Southampton,3rd Class Passenger,3rd Class,LOST
198,"BERNARDI, Sig. Battista",22,Male,Italian,Southampton,Restaurant Staff,Restaurant Staff,LOST
199,"BERRIMAN, Mr William John",23,Male,English,Southampton,2nd Class Passenger,2nd Class,LOST
200,"BESSANT, Mr Edward",31,Male,English,Southampton,Victualling Crew,Victualler,LOST
201,"BESSANT, Mr William Edward Lowe",40,Male,English,Southampton,Engineering Crew,Engineer,LOST
202,"BESSETTE, Miss Nellie Mayo",39,Female,American,Cherbourg,1st Class Passenger Servant,Servant,SAVED
203,"BEST, Mr Edwin Alfred",40,Male,English,Belfast,Victualling Crew,Victualler,LOST
204,"BEUX, Mr David",25,Male,Italian,Southampton,Restaurant Staff,Restaurant Staff,LOST
205,"BEVIS, Mr Joseph Henry",22,Male,English,Southampton,Engineering Crew,Engineer,LOST
206,"BIDDLECOMBE, Mr Reginald Charles",31,Male,English,Southampton,Engineering Crew,Engineer,LOST
207,"BIDOIS, Miss Rosalie",46,Female,Channel Islander,Cherbourg,1st Class Passenger Servant,Servant,SAVED
208,"BIGGS, Mr Edward Charles",20,Male,English,Southampton,Engineering Crew,Engineer,LOST
209,"BILLOWS, Mr James",20,Male,English,Southampton,Engineering Crew,Engineer,LOST
210,"BING, Mr Lee",32,Male,Hong Kongese,Southampton,3rd Class Passenger,3rd Class,SAVED
211,"BINSTEAD, Mr Walter William",20,Male,English,Southampton,Engineering Crew,Engineer,SAVED
212,"BIRD, Miss Ellen",31,Female,English,Southampton,1st Class Passenger Servant,Servant,SAVED
213,"BIRKELAND, Mr Hans Martin Monsen",21,Male,Norwegian,Southampton,3rd Class Passenger,3rd Class,LOST
214,"BIRNBAUM, Mr Jakob",24,Male,Polish,Cherbourg,1st Class Passenger,1st Class,LOST
215,"BISHOP, Mr Dickinson H.",25,Male,American,Cherbourg,1st Class Passenger,1st Class,SAVED
216,"BISHOP, Mr Walter Alexander",34,Male,English,Belfast,Victualling Crew,Victualler,LOST
217,"BISHOP, Mrs Helen Margaret",19,Female,American,Cherbourg,1st Class Passenger,1st Class,SAVED
218,"BITTLE, Mr Robert",46,Male,Irish,Belfast,Engineering Crew,Engineer,
219,"BIéTRIX, Mr George Baptiste",28,Male,French,Southampton,Restaurant Staff,Restaurant Staff,LOST
220,"BJöRKLUND, Mr Ernst Heribert",18,Male,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
221,"BJöRNSTRöM-STEFFANSSON, Mr Mauritz Håkan",28,Male,Swedish,Southampton,1st Class Passenger,1st Class,SAVED
222,"BLACK, Mr Alexander",28,Male,English,Southampton,Engineering Crew,Engineer,LOST
223,"BLACK, Mr D.",41,Male,Scottish,Southampton,Engineering Crew Substitute Crew,Engineer,LOST
224,"BLACK, Mr James",38,Male,Irish,Belfast,Engineering Crew,Engineer,
225,"BLACKMAN, Mr Albert Edward",23,Male,English,Southampton,Engineering Crew,Engineer,LOST
226,"BLACKWELL, Mr Stephen Weart",45,Male,American,Southampton,1st Class Passenger,1st Class,LOST
227,"BLADES, Mr Frederick Charles",17,Male,English,Southampton,Victualling Crew,Victualler,LOST
228,"BLAIR, Mr David",37,Male,English,Belfast,Deck Crew Titanic Officers,Officer,
229,"BLAKE, Mr C.",36,Male,English,Southampton,Engineering Crew Failed to Join Ship,Not Onboard,
230,"BLAKE, Mr John Douglas Stanley George",26,Male,English,Belfast,Engineering Crew,Engineer,LOST
231,"BLAKE, Mr Percival Albert",22,Male,English,Southampton,Engineering Crew,Engineer,SAVED
232,"BLAKE, Mr Thomas Henry",36,Male,English,Southampton,Engineering Crew,Engineer,LOST
233,"BLANEY, Mr James",32,Male,Irish,Southampton,Engineering Crew,Engineer,LOST
234,"BLANK, Mr Henry",39,Male,American,Cherbourg,1st Class Passenger,1st Class,SAVED
235,"BLANN, Mr Eustace Horatius",21,Male,English,Southampton,Engineering Crew,Engineer,LOST
236,"BLISS, Mrs Emma",45,Female,Swiss,Southampton,Victualling Crew,Victualler,SAVED
237,"BLOOMER, Mr James",51,Male,Irish,Belfast,Deck Crew,Deck Crew,
238,"BLUMET, Mr Jean Baptiste",26,Male,French,Southampton,Restaurant Staff,Restaurant Staff,LOST
239,"BOAL, Mr John",40,Male,Irish,Belfast,Engineering Crew,Engineer,
240,"BOCHATAY, Mr Alexis Joseph",30,Male,Swiss,Southampton,Victualling Crew,Victualler,LOST
241,"BOCHET, Mr Pietro Giuseppe",43,Male,Italian,Southampton,Restaurant Staff,Restaurant Staff,LOST
242,"BOGIE, Mr Norman Leslie",59,Male,Scottish,Southampton,Victualling Crew,Victualler,LOST
243,"BOLHUIS, Mr Hendrik",27,Male,Dutch,Southampton,Restaurant Staff,Restaurant Staff,LOST
244,"BOND, Mr William John",45,Male,English,Belfast,Victualling Crew,Victualler,LOST
245,"BONNELL, Miss Caroline",30,Female,American,Southampton,1st Class Passenger,1st Class,SAVED
246,"BONNELL, Miss Elizabeth",61,Female,English,Southampton,1st Class Passenger,1st Class,SAVED
247,"BOOTHBY, Mr Walter Thomas",37,Male,English,Southampton,Victualling Crew,Victualler,LOST
248,"BOREBANK, Mr John James",41,Male,"English, Canadian",Southampton,1st Class Passenger,1st Class,LOST
249,"BOSTANDJIEV, Mr Gencho",26,Male,Bulgarian,Southampton,3rd Class Passenger,3rd Class,LOST
250,"BOSTON, Mr William John",32,Male,English,Belfast,Victualling Crew,Victualler,LOST
251,"BOTSFORD, Mr William Hull",25,Male,American,Southampton,2nd Class Passenger,2nd Class,LOST
252,"BOTT, Mr William Thomas",46,Male,English,Southampton,Engineering Crew,Engineer,LOST
253,"BOUGHTON, Mr Bernard John",24,Male,English,Southampton,Victualling Crew,Victualler,LOST
254,"BOULOS, Mr Hanna",18,Male,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
255,"BOURKE, Miss Mary",40,Female,Irish,Queenstown,3rd Class Passenger,3rd Class,LOST
256,"BOURKE, Mr John",42,Male,Irish,Queenstown,3rd Class Passenger,3rd Class,LOST
257,"BOURKE, Mrs Catherine",32,Female,Irish,Queenstown,3rd Class Passenger,3rd Class,LOST
258,"BOWEN, Miss Grace Scott",45,Female,American,Cherbourg,1st Class Passenger Servant,Servant,SAVED
259,"BOWEN, Mr David John 'Dai'",20,Male,Welsh,Southampton,3rd Class Passenger,3rd Class,LOST
260,"BOWERMAN, Miss Elsie Edith",22,Female,English,Southampton,1st Class Passenger,1st Class,SAVED
261,"BOWKER, Miss Ruth Harwood",31,Female,English,Southampton,Restaurant Staff,Restaurant Staff,SAVED
262,"BOWMAN, Mr F. T.",38,Male,English,Southampton,Victualling Crew Failed to Join Ship,Not Onboard,
263,"BOXHALL, Mr Joseph Groves",28,Male,English,Belfast,Deck Crew Titanic Officers,Officer,SAVED
264,"BOYD, Mr Adam",38,Male,Irish,Belfast,Engineering Crew,Engineer,
265,"BOYD, Mr John",37,Male,English,Southampton,Victualling Crew,Victualler,LOST
266,"BOYES, Mr John Henry",36,Male,English,Belfast,Victualling Crew,Victualler,LOST
267,"BRACKEN, Mr James Hollen",30,Male,American,Southampton,2nd Class Passenger,2nd Class,LOST
